diagnosis_type	diagnosis_code	diagnosis_description	mapped_icd9	mapped_icd10	map_flag
ICD10-CM	T40.605A	Adverse effect of unspecified narcotics, initial encounter	99529	T40605A	10111
ICD10-CM	D33.1	Benign neoplasm of brain, infratentorial	2250	D331	10000
ICD10-CM	S43.211A	Anterior subluxation of right sternoclavicular joint, initial encounter	83961	S43211A	10000
ICD10-CM	S92.153A	Displaced avulsion fracture (chip fracture) of unspecified talus, initial encounter for closed fracture	82521	S92153A	10000
ICD10-CM	S92.354A	Nondisplaced fracture of fifth metatarsal bone, right foot, initial encounter for closed fracture	82525	S92354A	10000
ICD10-CM	S83.091D	Other subluxation of right patella, subsequent encounter	V5889	S83091D	10000
ICD10-CM	I82.443	Acute embolism and thrombosis of tibial vein, bilateral	45342	I82443	10000
ICD10-CM	T73.3XXA	Exhaustion due to excessive exertion, initial encounter	E9272	T733XXA	10112
ICD10-CM	H35.382	Toxic maculopathy, left eye	36255	H35382	10000
ICD10-CM	S61.330A	Puncture wound without foreign body of right index finger with damage to nail, initial encounter	8830	S61330A	10000
ICD10-CM	W31.82XA	Contact with other commercial machinery, initial encounter	E9198	W3182XA	10000
ICD10-CM	H47.292	Other optic atrophy, left eye	37715	H47292	10000
ICD10-CM	O34.10	Maternal care for benign tumor of corpus uteri, unspecified trimester	65410	O3410	10000
ICD10-CM	M1A.4711	Other secondary chronic gout, right ankle and foot, with tophus (tophi)	27403	M1A4711	10000
ICD10-CM	S62.251A	Displaced fracture of neck of first metacarpal bone, right hand, initial encounter for closed fracture	81504	S62251A	10000
ICD10-CM	T21.00XD	Burn of unspecified degree of trunk, unspecified site, subsequent encounter	V5889	T2100XD	10000
ICD10-CM	F11.23	Opioid dependence with withdrawal	30400	F1123	10112
ICD10-CM	N94.819	Vulvodynia, unspecified	62570	N94819	00000
ICD10-CM	S86.819S	Strain of other muscle(s) and tendon(s) at lower leg level, unspecified leg, sequela	9057	S86819S	10000
ICD10-CM	R92.0	Mammographic microcalcification found on diagnostic imaging of breast	79381	R920	00000
ICD10-CM	T41.1X5A	Adverse effect of intravenous anesthetics, initial encounter	99522	T411X5A	10111
ICD10-CM	O30.003	Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester	65103	O30003	10111
ICD10-CM	T28.411A	Burn of right ear drum, initial encounter	9478	T28411A	10000
ICD10-CM	K91.2	Postsurgical malabsorption, not elsewhere classified	5793	K912	00000
ICD10-CM	S42.012A	Anterior displaced fracture of sternal end of left clavicle, initial encounter for closed fracture	81001	S42012A	10000
ICD10-CM	T37.5X5A	Adverse effect of antiviral drugs, initial encounter	E9317	T375X5A	10112
ICD10-CM	S21.112A	Laceration without foreign body of left front wall of thorax without penetration into thoracic cavity, initial encounter	8750	S21112A	10000
ICD10-CM	D26.9	Other benign neoplasm of uterus, unspecified	2199	D269	00000
ICD10-CM	H83.90	Unspecified disease of inner ear, unspecified ear	3869	H8390	10000
ICD10-CM	H40.041	Steroid responder, right eye	36503	H40041	10000
ICD10-CM	T40.5X5A	Adverse effect of cocaine, initial encounter	99529	T405X5A	10111
ICD10-CM	M05.272	Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot	7142	M05272	10000
ICD10-CM	T43.603A	Poisoning by unspecified psychostimulants, assault, initial encounter	E9620	T43603A	10112
ICD10-CM	M65.341	Trigger finger, right ring finger	72703	M65341	10000
ICD10-CM	T42.76XA	Underdosing of unspecified antiepileptic and sedative-hypnotic drugs, initial encounter	NoDx	T4276XA	11000
ICD10-CM	M05.70	Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement	7140	M0570	10000
ICD10-CM	S60.427A	Blister (nonthermal) of left little finger, initial encounter	9152	S60427A	10000
ICD10-CM	R29.810	Facial weakness	78194	R29810	00000
ICD10-CM	T24.731D	Corrosion of third degree of right lower leg, subsequent encounter	V5889	T24731D	10000
ICD10-CM	S72.031S	Displaced midcervical fracture of right femur, sequela	9053	S72031S	10000
ICD10-CM	S29.011A	Strain of muscle and tendon of front wall of thorax, initial encounter	8488	S29011A	10000
ICD10-CM	H18.712	Corneal ectasia, left eye	37171	H18712	10000
ICD10-CM	T25.332A	Burn of third degree of left toe(s) (nail), initial encounter	94541	T25332A	10000
ICD10-CM	S80.219S	Abrasion, unspecified knee, sequela	9062	S80219S	10000
ICD10-CM	S36.290D	Other injury of head of pancreas, subsequent encounter	V5889	S36290D	10000
ICD10-CM	C26.1	Malignant neoplasm of spleen	1591	C261	00000
ICD10-CM	J12.8	Other viral pneumonia	4808	J1289	10000
ICD10-CM	S42.002B	Fracture of unspecified part of left clavicle, initial encounter for open fracture	81010	S42002B	10000
ICD10-CM	S66.327D	Laceration of extensor muscle, fascia and tendon of left little finger at wrist and hand level, subsequent encounter	V5889	S66327D	10000
ICD10-CM	G57.92	Unspecified mononeuropathy of left lower limb	3558	G5792	10000
ICD10-CM	S62.509S	Fracture of unspecified phalanx of unspecified thumb, sequela	9052	S62509S	10000
ICD10-CM	H60.12	Cellulitis of left external ear	38010	H6012	10000
ICD10-CM	M84.475G	Pathological fracture, left foot, subsequent encounter for fracture with delayed healing	V5426	M84475G	10000
ICD10-CM	S62.022G	Displaced fracture of middle third of navicular [scaphoid] bone of left wrist, subsequent encounter for fracture with delayed healing	V5412	S62022G	10000
ICD10-CM	H00.012	Hordeolum externum right lower eyelid	37311	H00012	10000
ICD10-CM	R33	Retention of urine	78829	R330	10000
ICD10-CM	S69.91XD	Unspecified injury of right wrist, hand and finger(s), subsequent encounter	V5889	S6991XD	10000
ICD10-CM	S52.323D	Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for closed fracture with routine healing	V5412	S52323D	10000
ICD10-CM	S82.145D	Nondisplaced bicondylar fracture of left tibia, subsequent encounter for closed fracture with routine healing	V5416	S82145D	10000
ICD10-CM	Q79.1	Other congenital malformations of diaphragm	7566	Q791	10000
ICD10-CM	K61.1	Rectal abscess	566	K611	10000
ICD10-CM	Z12.73	Encounter for screening for malignant neoplasm of ovary	V7646	Z1273	00000
ICD10-CM	O42.92	Full-term premature rupture of membranes, unspecified as to length of time between rupture and onset of labor	65811	O4292	10000
ICD10-CM	T84.213A	Breakdown (mechanical) of internal fixation device of bones of foot and toes, initial encounter	99649	T84213A	10000
ICD10-CM	O36.5921	Maternal care for other known or suspected poor fetal growth, second trimester, fetus 1	65653	O365921	10000
ICD10-CM	S52.351K	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion	73382	S52351K	10000
ICD10-CM	S14.117A	Complete lesion at C7 level of cervical spinal cord, initial encounter	95206	S14117A	10000
ICD10-CM	D00.01	Carcinoma in situ of labial mucosa and vermilion border	2300	D0001	10000
ICD10-CM	S86.991A	Other injury of unspecified muscle(s) and tendon(s) at lower leg level, right leg, initial encounter	9597	S86991A	10000
ICD10-CM	T38.1X5A	Adverse effect of thyroid hormones and substitutes, initial encounter	99529	T381X5A	10111
ICD10-CM	O22.8X3	Other venous complications in pregnancy, third trimester	67181	O228X3	10000
ICD10-CM	S68.110S	Complete traumatic metacarpophalangeal amputation of right index finger, sequela	9059	S68110S	10000
ICD10-CM	Q13.3	Congenital corneal opacity	74343	Q133	10000
ICD10-CM	S52.561P	Barton's fracture of right radius, subsequent encounter for closed fracture with malunion	73381	S52561P	10000
ICD10-CM	S36.119S	Unspecified injury of liver, sequela	9081	S36119S	10000
ICD10-CM	T85.318A	Breakdown (mechanical) of other ocular prosthetic devices, implants and grafts, initial encounter	99651	T85318A	10000
ICD10-CM	H40.10X0	Unspecified open-angle glaucoma, stage unspecified	36510	H4010X0	10111
ICD10-CM	H11.132	Conjunctival pigmentations, left eye	37255	H11132	10000
ICD10-CM	O73.1	Retained portions of placenta and membranes, without hemorrhage	66710	O731	10000
ICD10-CM	Z94.8	Other transplanted organ and tissue status	V4289	Z9489	10000
ICD10-CM	K29.91	Gastroduodenitis, unspecified, with bleeding	53551	K2991	10000
ICD10-CM	S56.521A	Laceration of other extensor muscle, fascia and tendon at forearm level, right arm, initial encounter	88120	S56521A	10000
ICD10-CM	H83.12	Labyrinthine fistula, left ear	38641	H8312	10000
ICD10-CM	Z46.4	Encounter for fitting and adjustment of orthodontic device	V585	Z464	10000
ICD10-CM	S92.342B	Displaced fracture of fourth metatarsal bone, left foot, initial encounter for open fracture	82535	S92342B	10000
ICD10-CM	H73.892	Other specified disorders of tympanic membrane, left ear	3849	H73892	10000
ICD10-CM	O35.2XX0	Maternal care for (suspected) hereditary disease in fetus, not applicable or unspecified	65523	O352XX0	10000
ICD10-CM	K40.91	Unilateral inguinal hernia, without obstruction or gangrene, recurrent	55091	K4091	00000
ICD10-CM	W01.110A	Fall on same level from slipping, tripping and stumbling with subsequent striking against sharp glass, initial encounter	E8880	W01110A	10000
ICD10-CM	M67.432	Ganglion, left wrist	72742	M67432	10000
ICD10-CM	S82.865A	Nondisplaced Maisonneuve's fracture of left leg, initial encounter for closed fracture	82321	S82865A	10000
ICD10-CM	S72.141D	Displaced intertrochanteric fracture of right femur, subsequent encounter for closed fracture with routine healing	V5413	S72141D	10000
ICD10-CM	Z96.651	Presence of right artificial knee joint	V4365	Z96651	10000
ICD10-CM	S91.052D	Open bite, left ankle, subsequent encounter	V5889	S91052D	10000
ICD10-CM	Q82.6	Congenital sacral dimple	75739	Q826	10000
ICD10-CM	D55.2	Anemia due to disorders of glycolytic enzymes	2823	D552	10000
ICD10-CM	I13.1	Hypertensive heart and chronic kidney disease without heart failure	40400	I1310	10000
ICD10-CM	C50.42	Malignant neoplasm of upper-outer quadrant of breast, male	1759	C50429	10000
ICD10-CM	H60.322	Hemorrhagic otitis externa, left ear	38010	H60322	10000
ICD10-CM	M05.30	Rheumatoid heart disease with rheumatoid arthritis of unspecified site	7142	M0530	10000
ICD10-CM	M21.764	Unequal limb length (acquired), left fibula	73681	M21764	10000
ICD10-CM	W50.1XXD	Accidental kick by another person, subsequent encounter	E9179	W501XXD	10000
ICD10-CM	M13.82	Other specified arthritis, elbow	71622	M13829	10000
ICD10-CM	T40.605S	Adverse effect of unspecified narcotics, sequela	E9352	T40605S	10112
ICD10-CM	T60.2X1A	Toxic effect of other insecticides, accidental (unintentional), initial encounter	E8634	T602X1A	10112
ICD10-CM	B74.3	Loiasis	1252	B743	00000
ICD10-CM	H81.41	Vertigo of central origin, right ear	3862	H8141	10000
ICD10-CM	S92.225A	Nondisplaced fracture of lateral cuneiform of left foot, initial encounter for closed fracture	82524	S92225A	10000
ICD10-CM	S50.821A	Blister (nonthermal) of right forearm, initial encounter	9132	S50821A	10000
ICD10-CM	S72.8X1G	Other fracture of right femur, subsequent encounter for closed fracture with delayed healing	V5415	S728X1G	10000
ICD10-CM	J93.11	Primary spontaneous pneumothorax	51281	J9311	00000
ICD10-CM	M19.039	Primary osteoarthritis, unspecified wrist	71513	M19039	10000
ICD10-CM	C85.10	Unspecified B-cell lymphoma, unspecified site	20280	C8510	10000
ICD10-CM	L89.5	Pressure ulcer of ankle	70706	L89500	10111
ICD10-CM	Z12.82	Encounter for screening for malignant neoplasm of nervous system	V7681	Z1282	00000
ICD10-CM	Q34.0	Anomaly of pleura	7488	Q340	10000
ICD10-CM	C38.8	Malignant neoplasm of overlapping sites of heart, mediastinum and pleura	1648	C388	00000
ICD10-CM	J45.3	Mild persistent asthma	49300	J4530	10000
ICD10-CM	S52.301G	Unspecified fracture of shaft of right radius, subsequent encounter for closed fracture with delayed healing	V5412	S52301G	10000
ICD10-CM	S01.301S	Unspecified open wound of right ear, sequela	9060	S01301S	10000
ICD10-CM	T20.37XD	Burn of third degree of neck, subsequent encounter	V5889	T2037XD	10000
ICD10-CM	G93.41	Metabolic encephalopathy	34831	G9341	00000
ICD10-CM	Z97.11	Presence of artificial right arm (complete) (partial)	V437	Z9711	10000
ICD10-CM	S60.112A	Contusion of left thumb with damage to nail, initial encounter	9233	S60112A	10000
ICD10-CM	F91.1	Conduct disorder, childhood-onset type	31281	F911	10000
ICD10-CM	N90.813	Female genital mutilation Type III status	62923	N90813	00000
ICD10-CM	A18.10	Tuberculosis of genitourinary system, unspecified	01690	A1810	10000
ICD10-CM	D86.89	Sarcoidosis of other sites	135	D8689	10000
ICD10-CM	F51.19	Other hypersomnia not due to a substance or known physiological condition	30743	F5119	10000
ICD10-CM	V10.3XXA	Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, initial encounter	E8261	V103XXA	10000
ICD10-CM	T20.09XS	Burn of unspecified degree of multiple sites of head, face, and neck, sequela	9065	T2009XS	10000
ICD10-CM	Y79.3	Surgical instruments, materials and orthopedic devices (including sutures) associated with adverse incidents	NoDx	Y793	11000
ICD10-CM	O63.9	Long labor, unspecified	66211	O639	10000
ICD10-CM	M21.071	Valgus deformity, not elsewhere classified, right ankle	73679	M21071	10000
ICD10-CM	M05.151	Rheumatoid lung disease with rheumatoid arthritis of right hip	71481	M05151	10000
ICD10-CM	S92.514B	Nondisplaced fracture of proximal phalanx of right lesser toe(s), initial encounter for open fracture	8261	S92514B	10000
ICD10-CM	S62.001P	Unspecified fracture of navicular [scaphoid] bone of right wrist, subsequent encounter for fracture with malunion	73381	S62001P	10000
ICD10-CM	S00.35XA	Superficial foreign body of nose, initial encounter	9106	S0035XA	10000
ICD10-CM	M62.539	Muscle wasting and atrophy, not elsewhere classified, unspecified forearm	7282	M62539	10000
ICD10-CM	T23.012A	Burn of unspecified degree of left thumb (nail), initial encounter	94402	T23012A	10000
ICD10-CM	S62.514B	Nondisplaced fracture of proximal phalanx of right thumb, initial encounter for open fracture	81611	S62514B	10000
ICD10-CM	I87.012	Postthrombotic syndrome with ulcer of left lower extremity	45911	I87012	10000
ICD10-CM	I95.89	Other hypotension	4581	I9589	10000
ICD10-CM	K50.914	Crohn's disease, unspecified, with abscess	5695	K50914	10112
ICD10-CM	H66.42	Suppurative otitis media, unspecified, left ear	3824	H6642	10000
ICD10-CM	L68.3	Polytrichia	7041	L683	10000
ICD10-CM	O92.5	Suppressed lactation	67652	O925	10000
ICD10-CM	I69.953	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side	43822	I69953	10000
ICD10-CM	K80.0	Calculus of gallbladder with acute cholecystitis	57400	K8000	10000
ICD10-CM	L03.129	Acute lymphangitis of unspecified part of limb	6827	L03129	10000
ICD10-CM	H30.899	Other chorioretinal inflammations, unspecified eye	36320	H30899	10000
ICD10-CM	Q72.70	Split foot, unspecified lower limb	75569	Q7270	10000
ICD10-CM	X95.01XA	Assault by airgun discharge, initial encounter	E9686	X9501XA	10000
ICD10-CM	A59.09	Other urogenital trichomoniasis	13109	A5909	00000
ICD10-CM	M12.40	Intermittent hydrarthrosis, unspecified site	71930	M1240	10000
ICD10-CM	C44.719	Basal cell carcinoma of skin of left lower limb, including hip	17371	C44719	10000
ICD10-CM	Y07.03	Male partner, perpetrator of maltreatment and neglect	E9673	Y0703	10000
ICD10-CM	L97.204	Non-pressure chronic ulcer of unspecified calf with necrosis of bone	70712	L97204	10000
ICD10-CM	H18.053	Posterior corneal pigmentations, bilateral	37113	H18053	10000
ICD10-CM	F32.9	Major depressive disorder, single episode, unspecified	29620	F329	10000
ICD10-CM	H18.339	Rupture in Descemet's membrane, unspecified eye	37133	H18339	10000
ICD10-CM	Z88.5	Allergy status to narcotic agent status	V145	Z885	00000
ICD10-CM	T46.7X6A	Underdosing of peripheral vasodilators, initial encounter	NoDx	T467X6A	11000
ICD10-CM	S80.852A	Superficial foreign body, left lower leg, initial encounter	9166	S80852A	10000
ICD10-CM	C81.18	Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites	20158	C8118	00000
ICD10-CM	S26.92XA	Laceration of heart, unspecified with or without hemopericardium, initial encounter	86103	S2692XA	10000
ICD10-CM	M79.622	Pain in left upper arm	7295	M79622	10000
ICD10-CM	W50.0XXA	Accidental hit or strike by another person, initial encounter	E9179	W500XXA	10000
ICD10-CM	E23.3	Hypothalamic dysfunction, not elsewhere classified	2539	E233	10000
ICD10-CM	S66.329A	Laceration of extensor muscle, fascia and tendon of unspecified finger at wrist and hand level, initial encounter	8822	S66329A	10000
ICD10-CM	S24.113S	Complete lesion at T7-T10 level of thoracic spinal cord, sequela	9072	S24113S	10000
ICD10-CM	Z30.432	Encounter for removal of intrauterine contraceptive device	V2512	Z30432	00000
ICD10-CM	S68.622A	Partial traumatic transphalangeal amputation of right middle finger, initial encounter	8860	S68622A	10000
ICD10-CM	M84.445D	Pathological fracture, left finger(s), subsequent encounter for fracture with routine healing	V5422	M84445D	10000
ICD10-CM	Z46.89	Encounter for fitting and adjustment of other specified devices	V537	Z4689	10000
ICD10-CM	F10.920	Alcohol use, unspecified with intoxication, uncomplicated	2914	F10920	10000
ICD10-CM	B37.4	Candidiasis of other urogenital sites	1122	B3749	10000
ICD10-CM	I69.121	Dysphasia following nontraumatic intracerebral hemorrhage	43812	I69121	10000
ICD10-CM	Z62.819	Personal history of unspecified abuse in childhood	V6129	Z62819	10000
ICD10-CM	E11.41	Type 2 diabetes mellitus with diabetic mononeuropathy	25060	E1141	10111
ICD10-CM	S31.823D	Puncture wound without foreign body of left buttock, subsequent encounter	V5889	S31823D	10000
ICD10-CM	K92.81	Gastrointestinal mucositis (ulcerative)	538	K9281	00000
ICD10-CM	H44.019	Panophthalmitis (acute), unspecified eye	36002	H44019	10000
ICD10-CM	S00.242S	External constriction of left eyelid and periocular area, sequela	9062	S00242S	10000
ICD10-CM	S61.313D	Laceration without foreign body of left middle finger with damage to nail, subsequent encounter	V5889	S61313D	10000
ICD10-CM	K29.41	Chronic atrophic gastritis with bleeding	53511	K2941	10000
ICD10-CM	C82.87	Other types of follicular lymphoma, spleen	20207	C8287	10000
ICD10-CM	L03.323	Acute lymphangitis of chest wall	6822	L03323	10000
ICD10-CM	T50.Z92A	Poisoning by other vaccines and biological substances, intentional self-harm, initial encounter	E9504	T50Z92A	10112
ICD10-CM	M65.342	Trigger finger, left ring finger	72703	M65342	10000
ICD10-CM	I50.32	Chronic diastolic (congestive) heart failure	4280	I5032	10112
ICD10-CM	S72.034K	Nondisplaced midcervical fracture of right femur, subsequent encounter for closed fracture with nonunion	73382	S72034K	10000
ICD10-CM	T54.1X1A	Toxic effect of other corrosive organic compounds, accidental (unintentional), initial encounter	E9241	T541X1A	10112
ICD10-CM	M84.68XS	Pathological fracture in other disease, other site, sequela	9055	M8468XS	10000
ICD10-CM	K26.0	Acute duodenal ulcer with hemorrhage	53200	K260	10000
ICD10-CM	M70.60	Trochanteric bursitis, unspecified hip	7265	M7060	10000
ICD10-CM	D38.1	Neoplasm of uncertain behavior of trachea, bronchus and lung	2357	D381	00000
ICD10-CM	V29.50XA	Motorcycle passenger injured in collision with unspecified motor vehicles in traffic accident, initial encounter	E8123	V2950XA	10000
ICD10-CM	Y27.9XXA	Contact with unspecified hot objects, undetermined intent, initial encounter	E9881	Y279XXA	10000
ICD10-CM	S61.237D	Puncture wound without foreign body of left little finger without damage to nail, subsequent encounter	V5889	S61237D	10000
ICD10-CM	T82.817A	Embolism due to cardiac prosthetic devices, implants and grafts, initial encounter	99671	T82817A	10000
ICD10-CM	G40.211	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus	34541	G40211	10000
ICD10-CM	N32.2	Vesical fistula, not elsewhere classified	5962	N322	00000
ICD10-CM	S22.42XB	Multiple fractures of ribs, left side, initial encounter for open fracture	80717	S2242XB	10000
ICD10-CM	S66.328A	Laceration of extensor muscle, fascia and tendon of other finger at wrist and hand level, initial encounter	8822	S66328A	10000
ICD10-CM	Z77.120	Contact with and (suspected) exposure to mold (toxic)	V8731	Z77120	00000
ICD10-CM	H35.21	Other non-diabetic proliferative retinopathy, right eye	36229	H3521	10000
ICD10-CM	I82.891	Chronic embolism and thrombosis of other specified veins	45379	I82891	10000
ICD10-CM	S60.511D	Abrasion of right hand, subsequent encounter	V5889	S60511D	10000
ICD10-CM	M10.122	Lead-induced gout, left elbow	27400	M10122	10000
ICD10-CM	G44.201	Tension-type headache, unspecified, intractable	33910	G44201	10000
ICD10-CM	M00.252	Other streptococcal arthritis, left hip	71105	M00252	10111
ICD10-CM	H27.139	Posterior dislocation of lens, unspecified eye	37934	H27139	10000
ICD10-CM	S04.019D	Injury of optic nerve, unspecified eye, subsequent encounter	V5889	S04019D	10000
ICD10-CM	B95.8	Unspecified staphylococcus as the cause of diseases classified elsewhere	04110	B958	10000
ICD10-CM	D03.51	Melanoma in situ of anal skin	1725	D0351	10000
ICD10-CM	I83.029	Varicose veins of left lower extremity with ulcer of unspecified site	4540	I83029	10000
ICD10-CM	Q51.818	Other congenital malformations of uterus	75239	Q51818	10000
ICD10-CM	T78.41XA	Arthus phenomenon, initial encounter	99521	T7841XA	10000
ICD10-CM	S62.242D	Displaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with routine healing	V5412	S62242D	10000
ICD10-CM	X12.XXXS	Contact with other hot fluids, sequela	E9298	X12XXXS	10000
ICD10-CM	T42.3X5A	Adverse effect of barbiturates, initial encounter	E9370	T423X5A	10112
ICD10-CM	T84.013A	Broken internal left knee prosthesis, initial encounter	99643	T84013A	10000
ICD10-CM	S66.123A	Laceration of flexor muscle, fascia and tendon of left middle finger at wrist and hand level, initial encounter	8822	S66123A	10000
ICD10-CM	D23.9	Other benign neoplasm of skin, unspecified	2169	D239	10000
ICD10-CM	Q50.32	Ovarian streak	7520	Q5032	10000
ICD10-CM	S40.219A	Abrasion of unspecified shoulder, initial encounter	9120	S40219A	10000
ICD10-CM	D38.0	Neoplasm of uncertain behavior of larynx	2356	D380	00000
ICD10-CM	M25.639	Stiffness of unspecified wrist, not elsewhere classified	71953	M25639	10000
ICD10-CM	S90.852S	Superficial foreign body, left foot, sequela	9062	S90852S	10000
ICD10-CM	M41.42	Neuromuscular scoliosis, cervical region	73743	M4142	10000
ICD10-CM	I82.503	Chronic embolism and thrombosis of unspecified deep veins of lower extremity, bilateral	45350	I82503	10000
ICD10-CM	M11.269	Other chondrocalcinosis, unspecified knee	71236	M11269	10000
ICD10-CM	S06.319A	Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, initial encounter	85186	S06319A	10000
ICD10-CM	T65.891D	Toxic effect of other specified substances, accidental (unintentional), subsequent encounter	V5889	T65891D	10000
ICD10-CM	A54.86	Gonococcal sepsis	09889	A5486	10111
ICD10-CM	Z45.02	Encounter for adjustment and management of automatic implantable cardiac defibrillator	V5332	Z4502	00000
ICD10-CM	Z12.11	Encounter for screening for malignant neoplasm of colon	V7651	Z1211	00000
ICD10-CM	H20.12	Chronic iridocyclitis, left eye	36410	H2012	10000
ICD10-CM	M21.521	Acquired clubhand, right hand	73607	M21521	10000
ICD10-CM	S60.552A	Superficial foreign body of left hand, initial encounter	9146	S60552A	10000
ICD10-CM	H65.93	Unspecified nonsuppurative otitis media, bilateral	3814	H6593	10000
ICD10-CM	W33.01XA	Accidental discharge of shotgun, initial encounter	E9221	W3301XA	10000
ICD10-CM	I25.720	Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris	41404	I25720	10111
ICD10-CM	V48.6XXA	Car passenger injured in noncollision transport accident in traffic accident, initial encounter	E8161	V486XXA	10000
ICD10-CM	S00.80XS	Unspecified superficial injury of other part of head, sequela	9062	S0080XS	10000
ICD10-CM	H54.2	Low vision, both eyes	36908	H540X33	10000
ICD10-CM	D60.9	Acquired pure red cell aplasia, unspecified	28481	D609	10000
ICD10-CM	M19.112	Post-traumatic osteoarthritis, left shoulder	71521	M19112	10000
ICD10-CM	S71.141D	Puncture wound with foreign body, right thigh, subsequent encounter	V5889	S71141D	10000
ICD10-CM	M06.832	Other specified rheumatoid arthritis, left wrist	7140	M06832	10000
ICD10-CM	H40.51X0	Glaucoma secondary to other eye disorders, right eye, stage unspecified	36570	H4051X0	10112
ICD10-CM	G57.63	Lesion of plantar nerve, bilateral lower limbs	3556	G5763	10000
ICD10-CM	M99.41	Connective tissue stenosis of neural canal of cervical region	7230	M9941	10000
ICD10-CM	A02.1	Salmonella sepsis	99591	A021	10112
ICD10-CM	S32.432A	Displaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for closed fracture	8080	S32432A	10000
ICD10-CM	M32.9	Systemic lupus erythematosus, unspecified	7100	M329	10000
ICD10-CM	O26.612	Liver and biliary tract disorders in pregnancy, second trimester	64673	O26612	10000
ICD10-CM	Z90.410	Acquired total absence of pancreas	V8811	Z90410	00000
ICD10-CM	B25.0	Cytomegaloviral pneumonitis	0785	B250	10111
ICD10-CM	H05.313	Atrophy of bilateral orbit	37645	H05313	10000
ICD10-CM	W50.0XXD	Accidental hit or strike by another person, subsequent encounter	E9179	W500XXD	10000
ICD10-CM	S86.802A	Unspecified injury of other muscle(s) and tendon(s) at lower leg level, left leg, initial encounter	9597	S86802A	10000
ICD10-CM	M33.09	Juvenile dermatopolymyositis with other organ involvement	7103	M3309	10000
ICD10-CM	M75.10	Unspecified rotator cuff tear or rupture, not specified as traumatic	72610	M75100	10000
ICD10-CM	O99.313	Alcohol use complicating pregnancy, third trimester	64841	O99313	10000
ICD10-CM	H02.721	Madarosis of right upper eyelid and periocular area	37455	H02721	10000
ICD10-CM	T76.92XA	Unspecified child maltreatment, suspected, initial encounter	99550	T7692XA	10000
ICD10-CM	M00.88	Arthritis due to other bacteria, vertebrae	71108	M0088	10111
ICD10-CM	M14.68	Charcot's joint, vertebrae	7135	M1468	10000
ICD10-CM	Y92.149	Unspecified place in prison as the place of occurrence of the external cause	E8497	Y92149	10000
ICD10-CM	S92.499A	Other fracture of unspecified great toe, initial encounter for closed fracture	8260	S92499A	10000
ICD10-CM	M85.8	Other specified disorders of bone density and structure	73390	M8580	10000
ICD10-CM	V97.32XA	Injured by rotating propeller, initial encounter	E8449	V9732XA	10000
ICD10-CM	L97.901	Non-pressure chronic ulcer of unspecified part of unspecified lower leg limited to breakdown of skin	70710	L97901	10000
ICD10-CM	H55.03	Visual deprivation nystagmus	37953	H5503	00000
ICD10-CM	H02.419	Mechanical ptosis of unspecified eyelid	37433	H02419	10000
ICD10-CM	M24.142	Other articular cartilage disorders, left hand	71804	M24142	10000
ICD10-CM	S42.142D	Displaced fracture of glenoid cavity of scapula, left shoulder, subsequent encounter for fracture with routine healing	V5411	S42142D	10000
ICD10-CM	R94.6	Abnormal results of thyroid function studies	7945	R946	00000
ICD10-CM	M01.X59	Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere	71155	M01X59	10000
ICD10-CM	D57.1	Sickle-cell disease without crisis	28260	D571	10000
ICD10-CM	I62.02	Nontraumatic subacute subdural hemorrhage	4321	I6202	10000
ICD10-CM	B71.0	Hymenolepiasis	1236	B710	00000
ICD10-CM	T44.995A	Adverse effect of other drug primarily affecting the autonomic nervous system, initial encounter	99529	T44995A	10111
ICD10-CM	I49.02	Ventricular flutter	42742	I4902	00000
ICD10-CM	O99.830	Other infection carrier state complicating pregnancy	64781	O99830	10000
ICD10-CM	R55	Syncope and collapse	7802	R55	00000
ICD10-CM	S83.412S	Sprain of medial collateral ligament of left knee, sequela	9057	S83412S	10000
ICD10-CM	S52.022K	Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with nonunion	73382	S52022K	10000
ICD10-CM	M10.20	Drug-induced gout, unspecified site	27401	M1020	10000
ICD10-CM	D31.51	Benign neoplasm of right lacrimal gland and duct	2242	D3151	10000
ICD10-CM	I48.9	Unspecified atrial fibrillation and atrial flutter	42731	I4891	10000
ICD10-CM	S11.93XA	Puncture wound without foreign body of unspecified part of neck, initial encounter	8748	S1193XA	10000
ICD10-CM	S82.62XH	Displaced fracture of lateral malleolus of left fibula, subsequent encounter for open fracture type I or II with delayed healing	V5416	S8262XH	10000
